U matrix:
0.83356 0.96709 0.97663 
0.95214 0.78936 1.03318 
0.91200 0.94131 0.88228 
1.07910 0.97609 1.01354 
1.14840 1.04522 0.98328 
0.19171 0.32162 0.06509 
0.60792 0.69226 0.47996 
0.53666 0.52965 0.44312 
0.41888 0.50981 0.25093 
0.38765 0.34704 0.47439 
0.38427 0.61792 0.59286 
0.73981 0.86816 1.03050 
0.09980 0.19155 0.26719 
0.78550 0.91641 0.93561 
0.46867 0.52066 0.44716 
0.88667 0.78386 0.77286 
1.13021 0.94470 0.78790 
0.94486 0.94202 1.17615 
0.58742 0.57683 0.79759 
0.67659 0.48991 0.60680 
0.49403 0.50433 0.37996 
0.40716 0.23423 0.36725 
0.82086 0.80405 0.86737 
0.25373 0.24505 0.20421 
0.62012 0.41923 0.38861 
0.91236 0.83314 1.06998 
0.23017 0.15052 0.08890 
0.35963 0.33358 0.43756 
0.90577 0.64380 0.78923 
0.54387 0.79111 0.69452 
0.54537 0.57110 0.65488 
1.05339 1.09083 1.18503 
0.32411 0.33705 0.33170 
0.95698 0.75388 0.96253 
0.79477 0.80267 0.88969 
0.79953 0.50423 0.62082 
0.59676 0.39459 0.43677 
0.75554 0.95415 0.89782 
0.54764 0.35263 0.50538 
0.49919 0.78843 0.76753 
0.89708 0.93782 0.96399 
0.84455 0.94141 1.07822 
0.39329 0.46399 0.21626 
0.78371 0.65610 0.59153 
0.71948 0.90568 0.68342 
0.14777 0.05616 0.24665 
0.32719 0.26140 0.41238 
0.20542 0.22435 0.28929 
0.19041 0.32346 0.25038 
0.28616 0.16664 0.34890 
0.82641 0.79200 0.91045 
0.41831 0.43519 0.26343 
1.20912 0.91680 1.09608 
1.04373 0.77157 0.95644 
0.87474 0.93602 0.85597 
0.28533 0.55927 0.33591 
0.15913 0.11301 0.21147 
0.89642 0.85306 0.65269 
0.16451 0.28166 0.17816 
0.95086 0.86409 0.84112 
0.54809 0.39931 0.38655 
0.22525 0.21588 0.35953 
0.49000 0.70195 0.74544 
0.63900 0.72464 0.85020 
0.85401 0.70376 0.62434 
0.14731 0.15706 0.30075 
0.80015 0.85407 1.01402 
0.69722 0.79304 0.66650 
0.21990 0.20402 0.42626 
0.43022 0.37022 0.43400 
0.71443 0.69819 0.81824 
0.71692 0.57120 0.81710 
0.37523 0.31083 0.46637 
0.34698 0.41815 0.29486 
0.59580 0.65160 0.47790 
0.93244 0.84819 0.87682 
0.18209 0.42927 0.34365 
0.29331 0.23423 0.43936 
0.54326 0.55114 0.43682 
0.55424 0.35040 0.37684 
0.31910 0.36717 0.37852 
0.08587 0.05961 0.30021 
0.63686 0.70134 0.48948 
0.62476 0.81089 0.67929 
0.40730 0.30903 0.37782 
0.35488 0.29960 0.39894 
0.37983 0.40597 0.35443 
1.16887 1.19054 0.90777 
0.76405 0.74878 0.77414 
0.81515 0.75451 0.68176 
0.21945 0.30463 0.25699 
0.62145 0.66187 0.58409 
0.91380 0.94428 0.80920 
0.76951 0.71559 0.72720 
0.75965 0.79955 0.87542 
0.58883 0.48456 0.53831 
0.77718 0.60968 0.66193 
0.43239 0.74407 0.45900 
0.41442 0.25474 0.35309 
0.58811 0.57273 0.63066 
0.43358 0.29808 0.53607 
0.66415 0.56335 0.64200 
0.08988 0.25768 0.26886 
0.91328 0.65560 0.67834 
0.79154 0.90178 0.82973 
0.59471 0.73145 0.88264 
0.38797 0.31404 0.53393 
0.58323 0.51167 0.73733 
0.16410 0.22981 0.26019 
1.26081 1.10537 1.11023 
0.60487 0.44339 0.54334 
0.74541 0.68740 0.62754 
0.66744 0.42373 0.39815 
0.82459 0.86859 0.70495 
1.03047 1.04949 1.10455 
0.26244 0.39468 0.23569 
0.77732 0.72488 0.53653 
0.83858 0.88645 1.03970 
0.14635 0.25390 0.25264 
0.94592 0.91009 0.81154 
0.89644 0.99857 0.89014 
0.58406 0.36164 0.27968 
0.81900 0.89844 0.71362 
0.43769 0.35799 0.26756 
0.59799 0.49725 0.66286 
0.70219 0.86816 0.79064 
0.93986 0.74510 0.66107 
1.01471 1.16017 1.09986 
0.35588 0.37018 0.44563 
0.63717 0.92120 0.68729 
0.64089 0.41618 0.54084 
0.96557 0.97846 1.11950 
0.89811 0.93511 0.67925 
0.60120 0.46342 0.36413 
0.58632 0.31737 0.44553 
0.99086 0.92313 1.01410 
1.10418 1.09054 1.20605 
0.81368 0.90663 0.80651 
0.90425 0.93490 0.67047 
0.56401 0.45036 0.50423 
1.03225 1.10794 1.16936 
0.38867 0.46196 0.47701 
1.21144 1.14818 1.01810 
0.75091 0.67459 0.59012 
0.57537 0.75802 0.67453 
0.37550 0.37548 0.63568 
1.19043 1.12466 1.17691 
0.44349 0.42430 0.35241 
0.83136 0.98142 0.81756 
0.32415 0.40113 0.39404 
0.52407 0.66919 0.63494 
0.23908 0.16743 0.23462 
0.89916 1.02928 0.88567 
0.57032 0.41932 0.37508 
0.81423 0.73832 0.71657 
0.93015 1.13205 0.96167 
0.60360 0.74129 0.91010 
0.98975 1.10584 0.80669 
0.51136 0.32262 0.34147 
0.80107 0.73249 0.71503 
0.61600 0.80255 0.77836 
0.88833 1.07942 0.96435 
1.40320 1.22195 1.12141 
0.56413 0.44600 0.48043 
0.47852 0.47964 0.68771 
0.86695 1.00838 0.76905 
0.71546 0.50748 0.62258 
0.34081 0.46252 0.26873 
0.44130 0.35421 0.42979 
0.65508 0.73503 0.62704 
0.88418 0.87460 0.75104 
0.59740 0.67671 0.72795 
0.80705 0.78043 0.74955 
0.59898 0.34957 0.34061 
0.50282 0.60758 0.38980 
0.69394 0.83206 0.87973 
0.30734 0.22397 0.26203 
0.94842 0.91696 0.97193 
0.42430 0.13510 0.39751 
0.80931 0.84635 0.76697 
0.67766 0.65059 0.73596 
1.05519 1.07199 0.95824 
0.62991 0.71878 0.72619 
0.79697 0.62252 0.52671 
0.58529 0.49091 0.73875 
0.45598 0.35047 0.54753 
1.00413 0.74083 0.84393 
0.89958 1.00225 1.16113 
0.83394 0.63827 0.82179 
0.84791 0.89414 0.93096 
0.29392 0.36975 0.36444 
0.93115 0.71379 0.67129 
0.34464 0.46982 0.35666 
0.33535 0.21437 0.27848 
0.89369 1.03279 1.09267 
1.12966 1.26378 1.22635 
0.46919 0.17956 0.31721 
0.69697 0.88548 0.70948 
0.51646 0.57337 0.63078 
0.68769 0.64719 0.74299 
0.63893 0.83749 0.81510 
1.13016 1.09498 1.06121 
0.77988 0.78012 0.86079 
0.17948 0.09132 0.33186 
0.53475 0.73398 0.74841 
0.06039 0.29120 0.23223 
0.57239 0.38366 0.40743 
0.72810 0.66385 0.70926 
0.34296 0.41179 0.46106 
0.23828 0.11455 0.18159 
0.80165 0.84586 0.72984 
0.98512 0.95041 1.10288 
0.83988 0.80563 0.97587 
0.91891 0.93994 1.03335 
0.72563 0.77667 1.03161 
1.00175 1.20346 1.01429 
1.02215 0.74478 0.99741 
0.81828 0.98259 0.68241 
0.95959 0.89999 0.89900 
0.71342 0.46840 0.68689 
0.76701 0.66741 0.64890 
0.79303 0.77453 0.65619 
0.81619 0.94540 0.84135 
0.38735 0.20765 0.12203 
0.40843 0.54168 0.40934 
0.81411 1.07310 0.84951 
0.43385 0.36437 0.42973 
0.23732 0.35097 0.22014 
0.67987 0.82484 0.54583 
0.85940 1.00414 0.76017 
0.17644 0.40432 0.28554 
0.63692 0.88642 0.92826 
0.96887 0.95490 0.87080 
1.21478 0.92163 0.96915 
0.74706 0.89121 0.81263 
0.85261 0.82351 0.71116 
0.20823 0.17910 0.23364 
0.28031 0.41435 0.20684 
0.38874 0.22891 0.35587 
0.95173 1.01910 0.94941 
1.11148 1.13119 1.10648 
0.79134 0.67078 0.76854 
0.85664 0.73328 0.94911 
0.21241 0.28605 0.36360 
0.63386 0.53473 0.67637 
0.83945 1.06249 0.97731 
0.75630 0.80603 0.96109 
0.33662 0.35239 0.56697 
0.56249 0.45691 0.46472 
0.78218 0.77605 0.98225 
0.33742 0.28665 0.52735 
0.84847 0.69834 1.03304 
0.39869 0.54583 0.34171 
0.67141 0.40988 0.56441 
0.57519 0.51713 0.30726 
0.91857 1.16718 1.03875 
1.14633 0.90669 0.92457 
0.23592 0.28918 0.36299 
0.81454 0.70785 0.71440 
0.90316 0.68660 0.89267 
0.72235 0.72393 0.92791 
0.63196 0.45179 0.61372 
0.54753 0.62053 0.47360 
0.45230 0.15979 0.31996 
0.25347 0.51438 0.49142 
0.45505 0.31781 0.54161 
0.96343 1.06920 1.03405 
0.82496 0.85397 0.85740 
0.80189 0.89554 0.94871 
1.13508 1.10086 0.95414 
0.48269 0.48171 0.56475 
0.51453 0.64643 0.50339 
0.62511 0.52663 0.46862 
0.55937 0.78785 0.68561 
0.26888 0.11986 0.19580 
0.99307 1.00236 1.06258 
0.63608 0.44114 0.51106 
0.82780 0.89870 0.93704 
0.47777 0.69147 0.58853 
0.98969 0.93379 0.83118 
0.45655 0.48331 0.44351 
1.09835 1.23398 0.99714 
0.94164 0.81680 0.87463 
0.23423 0.05950 0.06395 
0.41750 0.24440 0.44402 
0.97896 1.02881 0.90137 
0.73117 0.61722 0.64514 
0.85149 0.74478 1.02995 
0.84163 0.92927 0.85034 
1.00106 1.09922 0.99581 
0.46326 0.59261 0.40690 
0.43659 0.42511 0.41238 
0.46267 0.58492 0.47618 
0.95630 1.03450 1.20869 
1.08399 0.99484 0.81013 
0.72786 0.55512 0.66850 
0.88081 0.92624 1.06897 
0.52325 0.46897 0.29532 
0.53251 0.55722 0.70096 
0.43747 0.28669 0.16284 
0.90874 0.86308 0.74570 
1.12762 1.13606 1.12051 
0.77908 0.60097 0.79494 
0.94910 1.01005 1.18263 
0.48487 0.50008 0.46981 
0.21487 0.33427 0.33982 
0.23193 0.44373 0.52418 
0.08384 0.07198 0.26772 
1.10521 1.04290 1.07644 
0.73576 0.87657 0.92131 
1.10664 1.34092 1.09525 
0.78164 0.75164 0.56666 
0.32883 0.65135 0.36013 
0.86268 0.91354 0.93542 
0.94079 0.72974 0.76000 
0.87011 0.91409 0.88948 
0.87776 0.78036 0.80782 
0.91340 0.95203 1.10860 
0.34560 0.37593 0.45855 
0.82769 0.81451 0.89742 
0.21343 0.22529 0.27419 
1.16682 1.03441 0.90560 
1.08914 0.78970 0.92762 
0.80038 0.78515 0.78598 
1.17489 1.06210 1.00576 
0.89190 0.91932 1.01328 
0.85786 0.99248 0.86756 
0.85241 0.88957 0.94554 
0.78748 0.61976 0.63113 
0.84369 0.76176 0.69780 
0.24083 0.38015 0.29186 
0.47397 0.46765 0.54008 
1.11117 0.92126 0.90937 
0.98126 1.06224 0.96514 
0.27577 0.40097 0.44016 
0.46651 0.56632 0.45665 
0.59255 0.31532 0.45670 
0.78103 0.56330 0.64564 
0.93269 0.76568 0.82335 
1.38686 1.29795 1.21318 
0.72424 0.79133 0.79662 
0.58460 0.61991 0.62767 
0.34546 0.38805 0.39494 
0.88485 0.91822 1.07189 
0.61105 0.42731 0.54094 
1.05807 1.17092 1.20894 
0.87321 0.90689 0.70503 
0.47766 0.47330 0.52135 
0.43461 0.45913 0.25584 
0.85005 1.14473 1.02165 
0.90911 0.89054 1.00392 
0.96075 1.03274 1.16536 
0.77254 0.83363 0.82626 
0.81875 0.74335 0.65571 
0.51770 0.27693 0.55460 
0.88860 0.85083 0.69276 
0.79570 0.80833 0.80460 
0.81535 0.95001 0.79869 
0.19480 0.07259 0.24097 
0.73110 0.74766 0.85143 
0.18106 0.22626 0.36706 
1.06514 0.93678 0.99621 
0.86674 0.86843 0.68664 
0.74584 0.62234 0.71479 
0.72470 0.69255 0.89700 
0.99099 1.06622 0.94079 
0.70624 0.46947 0.54494 
0.38603 0.44799 0.36426 
0.36082 0.26011 0.45072 
0.52875 0.76860 0.78448 
1.11099 1.06968 1.08636 
0.71781 0.67075 0.81588 
0.86054 0.93325 0.80935 
0.56595 0.29279 0.55022 
0.81542 0.84208 1.10493 
0.41644 0.43167 0.34250 
0.29567 0.46753 0.35234 
0.97354 0.99948 1.00333 
0.76073 0.78468 0.67484 
0.48548 0.47843 0.56405 
0.78917 0.75799 0.70056 
0.94297 0.83022 0.80857 
0.45789 0.55461 0.41825 
0.60747 0.55827 0.47559 
0.22952 0.38327 0.43309 
0.44191 0.27904 0.59251 
0.98353 1.00347 1.09616 
0.41011 0.23959 0.41048 
0.88703 0.75367 0.77690 
0.78425 0.84738 0.91660 
0.88292 1.05527 1.00196 
0.56446 0.57119 0.53402 
0.67763 0.52391 0.46540 
0.34451 0.18053 0.25764 
0.28636 0.22582 0.03687 
0.17965 0.45555 0.17112 
0.70165 0.93665 0.88142 
0.45963 0.39697 0.36257 
0.39044 0.46593 0.55835 
0.71024 0.88389 0.69853 
0.37822 0.24056 0.10496 
0.19139 0.41182 0.12187 
0.52536 0.53397 0.65347 
0.55903 0.35281 0.59576 
0.22018 0.36685 0.48954 
0.90989 0.74022 0.86939 
0.65768 0.58406 0.76179 
0.79578 0.69891 0.66917 
0.60399 0.32075 0.50745 
1.12706 1.17532 1.16274 
0.38563 0.48712 0.47721 
0.71474 0.77927 0.96334 
0.26397 0.44593 0.23380 
0.42721 0.37031 0.44895 
0.31927 0.20369 0.36435 
0.84969 0.86107 0.85108 
0.55106 0.41128 0.53089 
0.17371 0.22907 0.14434 
1.08682 1.07674 0.96207 
1.21918 1.17156 1.32292 
1.08405 0.94591 1.10564 
0.84728 0.81949 0.88421 
0.21348 0.16904 0.35821 
0.19058 0.46925 0.40799 
1.05179 0.86889 1.03656 
0.10911 0.31699 0.31089 
0.28258 0.54128 0.42294 
0.41413 0.40286 0.35437 
0.72250 0.86924 0.81068 
0.72409 0.66545 0.49271 
0.90233 0.88332 0.79474 
0.52359 0.54812 0.59276 
0.73919 0.79547 0.54260 
0.43506 0.70967 0.59907 
0.59295 0.60808 0.56764 
0.81166 0.87693 0.76471 
0.39930 0.51840 0.60600 
0.34938 0.41000 0.28550 
0.61303 0.68975 0.44966 
0.59128 0.37819 0.64203 
0.41569 0.52794 0.53085 
0.61787 0.71569 0.78309 
0.77361 0.78996 0.72325 
0.67452 0.60182 0.39769 
0.51694 0.64146 0.51820 
1.06239 0.92461 1.22130 
0.48080 0.27774 0.50798 
0.90768 0.84089 0.64555 
0.84162 0.90443 0.98000 
0.75874 0.75534 0.68802 
0.32281 0.20687 0.39404 
0.76089 0.72665 0.66309 
1.03410 1.06772 0.99826 
0.54030 0.76970 0.69829 
0.81123 0.87078 0.79692 
0.94048 0.81046 0.76294 
0.36382 0.28827 0.18648 
0.93105 1.13431 0.91476 
0.88698 0.73691 0.84838 
0.57282 0.62143 0.68066 
0.74795 0.93733 0.80242 
1.17446 0.88540 1.06408 
0.87438 0.99914 0.88445 
1.01640 0.84594 0.92188 
0.39115 0.66234 0.53678 
0.68335 0.84099 0.69885 
1.24103 1.19538 1.23716 
0.52004 0.34850 0.51231 
0.80241 0.77997 0.76595 
1.02322 0.97001 0.95621 
0.46900 0.56399 0.63559 
0.64673 0.70319 0.78393 
0.98629 1.08642 1.05660 
0.46335 0.69524 0.59191 
0.62700 0.44372 0.66737 
1.09685 1.03510 0.91422 
0.84729 1.04186 1.08822 
0.22399 0.14716 0.41470 
0.37743 0.57564 0.37639 
0.38720 0.29584 0.30151 
0.90809 0.94988 0.82902 
0.20619 0.17512 0.26979 
0.69785 0.76016 0.77093 
0.39070 0.25692 0.31417 
0.74994 0.73268 0.85769 
0.82257 0.86965 0.77572 
0.70664 0.62548 0.90568 
0.21800 0.18853 0.35543 
0.13755 0.08469 0.08956 
1.14367 1.11691 1.07438 
1.02254 0.85320 0.90732 
0.41183 0.31858 0.38435 
0.78015 0.87519 0.85156 
0.92920 0.96254 1.07270 
0.32697 0.32361 0.42860 
0.87690 1.00505 0.87949 
0.82853 1.15605 0.90061 
0.94696 1.00183 1.04538 
0.81323 0.93389 0.98950 
0.95297 0.82430 0.83448 
0.39446 0.48023 0.36626 
0.90876 0.83499 1.03886 
0.66179 0.63173 0.47934 
0.92436 0.99118 1.02827 
0.86346 0.83303 1.03817 
1.01741 0.98604 1.01677 
0.10449 0.32233 0.22230 
0.86962 0.91277 1.04386 
0.74454 0.70141 0.77635 
0.88580 1.06922 1.06695 
0.95085 0.66284 0.66947 
0.61879 0.68714 0.54062 
0.17264 0.26654 0.36378 
0.67709 0.91177 0.73899 
1.03823 1.03533 0.84529 
0.43812 0.43831 0.18356 
0.43887 0.25446 0.33448 
0.44311 0.39062 0.36306 
0.54166 0.52348 0.49865 
0.82802 0.85778 0.77212 
0.78733 0.76540 0.87164 
0.34440 0.13504 0.19017 
0.38673 0.45713 0.33778 
0.99363 0.88433 0.78451 
1.24743 1.27486 0.90310 
1.04506 0.99088 0.92471 
0.60795 0.60657 0.40599 
0.65812 0.72939 0.63829 
0.91833 0.87615 0.97556 
0.75319 0.65748 0.66223 
0.55895 0.45805 0.59869 
0.37163 0.27086 0.14965 
0.19218 0.30947 0.47311 
0.84099 0.66500 0.71168 
0.94234 1.02641 1.01145 
0.89206 0.94574 0.61814 
0.68694 0.71691 0.82486 
0.76458 0.76086 0.90000 
0.69917 0.93810 0.85453 
1.03298 1.05153 0.84366 
0.40402 0.57131 0.43978 
0.64919 0.85833 0.75556 
0.93471 1.02516 0.74767 
0.76413 1.01571 1.02385 
0.36303 0.49115 0.44506 
0.91689 0.95128 0.73739 
0.98020 0.99777 1.01690 
0.24693 0.33572 0.43973 
0.36415 0.42148 0.32712 
0.35873 0.36984 0.16576 
0.89965 1.07566 0.96673 
0.48534 0.32332 0.35127 
0.54918 0.63897 0.48582 
0.59617 0.48610 0.60910 
0.68286 0.67565 0.66162 
1.06781 1.05049 1.00083 
0.69213 0.62538 0.81300 
0.14548 0.33460 0.33598 
0.77421 0.78623 0.86351 
0.62736 0.56194 0.61908 
1.04504 1.12124 1.24991 
0.98136 1.07112 0.87807 
0.77786 0.69317 0.81732 
0.46279 0.36087 0.58470 
0.43146 0.27023 0.52127 
0.90860 1.04423 0.83724 
0.95536 0.86051 1.01430 
0.49180 0.51547 0.52619 
0.55412 0.40465 0.38141 
0.78629 0.97959 0.84138 
0.98795 0.88788 0.80392 
0.35670 0.14460 0.20657 
0.75635 0.96782 0.76295 
0.93833 0.85990 0.94385 
0.76448 1.04463 0.92728 
0.84546 1.08802 0.94912 
0.32897 0.31603 0.51599 
0.99394 1.25698 1.06804 
0.69273 0.63865 0.40723 
0.49606 0.54933 0.48462 
0.30664 0.30469 0.33248 
1.03161 0.78899 0.92408 
0.57419 0.45110 0.72739 
0.51947 0.37257 0.44090 
0.33754 0.23479 0.10300 
0.88516 0.69859 0.70845 
0.95944 0.88376 0.76538 
0.95980 0.87186 0.97832 
0.49718 0.55988 0.34638 
1.12490 1.09630 0.82961 
0.55749 0.51716 0.57995 
1.19821 1.17252 1.15659 
0.10116 0.37915 0.38719 
0.49644 0.26250 0.21191 
1.19197 1.10010 1.24783 
0.91721 1.05064 0.97151 
0.85856 0.83511 0.60132 
0.62387 0.50971 0.50868 
0.58562 0.84957 0.69457 
1.30378 1.08413 1.17753 
0.88179 0.83212 0.87375 
0.64486 0.63056 0.57564 
0.77877 0.81097 1.09086 
1.21096 1.13391 1.40641 
0.60372 0.56613 0.57691 
1.07593 0.96359 1.16055 
0.51741 0.53481 0.61372 
0.92465 1.03528 1.13546 
0.87613 0.96919 0.81924 
1.24601 1.05096 0.99004 
0.70004 0.63278 0.56101 
0.60017 0.65138 0.47435 
0.37007 0.25493 0.30955 
0.02868 0.18045 0.06337 
0.90444 0.86924 0.92963 
0.64223 0.91929 0.60340 
1.00387 0.99532 0.98945 
0.71536 0.73306 0.71530 
0.20274 0.27734 0.39272 
0.90384 0.96017 0.96978 
1.02541 1.04579 0.97700 
0.14622 0.19834 0.42114 
0.61563 0.69305 0.68812 
1.02531 0.92234 1.11748 
0.38191 0.27119 0.25336 
0.71521 0.86479 0.81056 
0.74919 0.88660 0.71598 
0.45420 0.53811 0.41805 
0.18882 0.20813 0.15786 
0.71741 0.73777 0.69568 
0.58381 0.48202 0.57239 
0.13686 0.07432 0.20708 
0.44858 0.28355 0.16744 
0.30066 0.50088 0.31511 
0.26883 0.44837 0.46437 
0.24399 0.18734 0.20880 
0.80791 0.61367 0.66015 
0.91261 1.00948 0.95682 
0.24165 0.38356 0.33624 
0.54476 0.57625 0.28941 
0.37815 0.31002 0.24900 
0.46012 0.49629 0.41393 
0.38579 0.36135 0.44817 
0.73842 0.71747 0.79774 
0.89671 0.66462 0.65429 
1.13603 1.11194 1.14594 
0.30813 0.23742 0.24317 
0.43929 0.64410 0.65205 
0.08300 0.32213 0.26071 
0.77408 0.95495 0.90231 
0.92460 0.83002 0.67440 
1.00033 1.00005 1.03268 
1.04862 0.87255 0.97757 
0.99149 0.86080 0.88907 
0.87492 0.95725 0.91271 
0.98842 0.73283 1.02026 
0.33068 0.33183 0.21487 
1.08034 1.28904 1.06913 
1.04643 1.05232 1.01485 
0.38410 0.25770 0.36439 
0.99770 0.80366 0.75342 
0.74806 0.73769 0.67967 
0.98898 0.99954 0.98631 
0.53486 0.45802 0.45973 
1.02008 0.88155 0.95192 
0.89106 1.01003 0.80358 
1.03130 1.16871 0.98948 
0.50810 0.56945 0.32770 
0.63186 0.61489 0.55556 
0.78105 1.00541 0.86306 
0.44822 0.44248 0.36485 
0.67597 0.91009 0.91797 
0.52341 0.74599 0.46354 
0.28763 0.37963 0.37971 
0.96065 1.08965 1.03609 
0.37221 0.40522 0.49881 
0.48815 0.69237 0.47757 
0.77238 0.83400 0.59050 
0.27819 0.18982 0.17833 
0.53051 0.56188 0.50127 
0.56100 0.49377 0.52817 
0.87530 0.73607 0.77702 
0.71523 0.84129 0.69148 
0.14759 0.10132 0.28791 
0.67680 0.63744 0.54529 
0.53706 0.84865 0.58680 
0.81861 0.87257 0.76290 
0.22390 0.23580 0.32814 
0.70634 0.49832 0.56916 
0.45167 0.45222 0.52607 
0.60166 0.39301 0.41718 
0.90078 0.97583 0.80366 
0.43018 0.51317 0.51469 
1.13480 0.99160 0.89604 
0.91148 0.77806 0.99529 
1.19551 1.13373 1.07597 
0.33236 0.12077 0.25589 
0.73165 0.59811 0.74825 
0.34806 0.19350 0.30020 
0.68630 0.38453 0.62864 
0.76697 0.55491 0.54611 
0.07102 0.34795 0.06289 
0.89028 0.64051 0.72863 
0.14278 0.41689 0.28432 
0.75569 0.80179 0.74496 
0.81698 0.76752 0.60388 
0.37807 0.32128 0.44074 
0.82701 0.81012 0.97025 
0.18598 0.30655 0.17574 
0.26022 0.23749 0.12008 
1.00811 1.22480 1.05112 
0.61740 0.46198 0.56464 
0.81762 0.90331 0.58568 
0.95022 0.94221 1.01450 
0.58480 0.63416 0.59947 
0.27151 0.17142 0.42965 
0.76215 0.55437 0.65331 
0.71214 0.66439 0.87967 
1.00473 0.82799 0.79895 
0.93084 0.81645 0.81259 
0.83699 0.93164 0.92324 
0.96764 0.92399 0.88714 
0.48337 0.49043 0.57158 
0.27714 0.37250 0.30339 
0.70232 0.66125 0.57372 
0.96526 0.76188 0.84577 
0.52012 0.24442 0.27983 
0.74323 0.87933 0.57456 
1.03744 0.89960 0.93174 
0.89511 0.82661 0.88000 
0.97005 1.04204 0.81644 
0.63327 0.60399 0.53024 
1.10517 1.01005 0.93068 
0.55925 0.47151 0.66801 
0.69125 0.39943 0.66685 
0.83095 0.83178 0.78681 
0.82785 0.64010 0.87397 
0.38100 0.23146 0.39487 
0.88048 0.88744 0.78131 
0.61064 0.66214 0.43380 
0.57445 0.39145 0.33763 
0.73788 0.74451 0.92058 
0.64628 0.59585 0.88656 
0.83608 1.01888 0.82010 
0.64197 0.59774 0.36170 
0.66963 0.61812 0.55182 
1.54942 1.32104 1.33068 
0.45855 0.23669 0.40525 
0.53837 0.42842 0.69801 
0.56804 0.52921 0.35166 
0.35282 0.36753 0.14307 
0.62756 0.67067 0.35708 
0.88459 0.71528 0.78860 
0.97783 1.04719 0.81310 
0.38533 0.16725 0.26276 
0.90116 1.00828 0.72597 
1.31649 1.04182 1.14381 
1.12780 0.99232 0.96739 
0.49718 0.63342 0.58098 
0.67132 0.74851 0.65390 
0.97587 0.70552 0.93786 
0.68362 0.81241 0.90796 
0.84564 0.86551 0.84621 
0.58865 0.67318 0.50109 
0.63392 0.50591 0.69295 
0.48896 0.49524 0.58309 
0.27503 0.25197 0.24732 
0.58142 0.37823 0.32346 
1.04156 0.89701 0.87117 
1.08714 0.87761 1.06053 
0.24575 0.13253 0.40779 
0.27682 0.31729 0.28851 
0.70283 0.91817 0.98894 
0.71264 0.74219 0.95260 
0.93407 0.87955 1.03789 
1.03141 0.73232 0.89579 
0.20556 0.25137 0.42966 
0.48313 0.69327 0.53028 
0.35241 0.56946 0.54236 
0.64829 0.53593 0.66796 
0.14255 0.29958 0.21446 
0.75245 0.58544 0.72918 
0.92185 0.70272 0.79088 
0.22805 0.40088 0.12377 
0.42750 0.60406 0.41226 
0.43145 0.31811 0.54298 
0.43259 0.21084 0.44946 
0.87140 0.84531 0.82110 
0.89947 0.70746 0.90178 
0.83018 0.74577 0.65422 
0.57417 0.60455 0.60459 
0.14989 0.34235 0.15386 
0.27698 0.22792 0.29277 
0.73080 0.65855 0.64680 
0.78187 0.84806 0.84612 
0.67404 0.58569 0.67180 
0.31202 0.34127 0.31109 
0.84631 0.91896 0.80564 
0.73755 0.84463 0.73602 
0.32524 0.12342 0.13190 
0.96068 0.89920 0.78208 
0.30199 0.21611 0.19205 
1.14266 0.99982 1.07707 
0.67838 0.47465 0.69938 
1.02262 0.94228 1.11652 
0.87677 0.76947 0.67195 
0.13095 0.39075 0.09798 
0.67359 0.70748 0.54790 
0.56209 0.39832 0.56361 
0.44305 0.54771 0.49813 
0.36171 0.38131 0.58860 
0.26637 0.40260 0.18731 
0.28246 0.13504 0.07942 
0.23342 0.53566 0.32087 
0.80214 0.73757 0.70314 
0.54867 0.48183 0.45870 
0.87424 0.81976 0.96692 
0.53596 0.51486 0.62191 
0.42519 0.40294 0.40920 
0.47106 0.52027 0.61377 
0.91737 0.85709 0.87766 
0.52289 0.75538 0.74202 
0.77907 0.76737 1.07669 
1.01443 0.94985 0.84866 
0.72831 0.99053 0.99504 
0.50991 0.50939 0.76030 
0.23759 0.39770 0.46604 
0.85710 0.98565 0.77994 
0.63058 0.47546 0.70306 
0.24610 0.41799 0.39525 
0.81998 0.93110 0.83802 
0.75351 0.75834 0.76248 
1.00763 0.94067 0.84302 
0.40408 0.22461 0.27834 
0.63759 0.77506 0.65244 
0.76403 0.99581 0.89654 
0.93322 0.67280 0.88105 
1.12334 0.90136 0.92235 
0.61132 0.67348 0.62116 
0.60487 0.54114 0.63433 
1.12757 1.20482 1.21834 
0.55768 0.38785 0.61216 
0.46819 0.40367 0.35490 
0.91860 0.94169 0.84907 
0.99544 1.04762 0.98828 
0.21124 0.35573 0.13026 
0.20531 0.39823 0.08241 
0.88554 0.87533 0.75688 
0.76972 0.56387 0.73795 
0.66127 0.69429 0.81371 
0.15415 0.46846 0.26010 
0.74671 0.82002 0.73129 
1.04635 0.84543 1.00190 
0.09331 0.01275 0.27938 
1.00796 0.99075 0.84926 
0.50980 0.45625 0.41746 
0.44289 0.62528 0.62355 
0.38623 0.40090 0.27086 
0.64988 0.64951 0.70744 
1.00699 1.03821 0.95466 
0.53095 0.64273 0.57221 
0.25164 0.20483 0.31534 
0.55258 0.46196 0.26026 
0.87793 0.92645 0.87694 
0.91470 0.87203 0.83066 
1.01243 0.96869 1.13970 
0.24742 0.33782 0.28584 
1.14632 1.04181 0.90315 
0.63114 0.70379 0.64143 
0.56237 0.58352 0.60000 
0.72317 1.01570 0.97073 
0.87726 0.90898 0.78699 
0.89656 0.79477 0.86131 
0.67044 0.92520 0.80381 
