U matrix:
0.25234 0.50283 0.29321 
0.22947 0.36166 0.23669 
0.69012 0.93690 0.94599 
0.61447 0.48233 0.61744 
0.70360 0.96947 0.76290 
0.84066 0.69649 0.66929 
0.77694 0.97767 0.84367 
0.45919 0.50725 0.58748 
0.57094 0.63709 0.55428 
1.09767 0.87815 0.91299 
0.29771 0.49708 0.37295 
0.92346 0.87785 1.18999 
0.30900 0.30492 0.28580 
0.40730 0.55602 0.35974 
0.76892 0.89239 0.77329 
0.64723 0.47897 0.48871 
0.26237 0.34113 0.07188 
0.49383 0.66051 0.50739 
0.60931 0.32106 0.44765 
0.56305 0.60003 0.54174 
0.74207 0.90177 0.80127 
0.32183 0.29273 0.36813 
0.96381 0.93394 0.89244 
0.50364 0.60031 0.30760 
0.96096 0.71090 0.82134 
0.58147 0.35719 0.28193 
1.11108 0.92109 0.91342 
0.27742 0.50446 0.28686 
0.81087 0.69118 0.81703 
0.88385 0.94256 0.79935 
0.28848 0.56100 0.46521 
0.63930 0.61392 0.78312 
0.73297 0.61482 0.78293 
0.69157 0.73651 0.44816 
0.96916 0.76777 0.88389 
0.99990 1.20962 0.90712 
1.03402 1.18958 0.97580 
0.38771 0.53977 0.53151 
0.67515 0.92728 0.90721 
0.49919 0.53354 0.38706 
0.88065 0.80191 0.91487 
0.42205 0.53164 0.37244 
0.14756 0.07642 0.36687 
0.73387 0.90446 0.71690 
0.91338 0.93655 1.06889 
0.11660 0.13953 0.37729 
0.27846 0.39026 0.15279 
0.81632 0.96652 0.78977 
0.46852 0.29667 0.34439 
0.32645 0.02462 0.04741 
0.98657 1.01894 0.83284 
0.16938 0.11903 0.21728 
0.78754 0.91073 1.05355 
1.01353 0.96827 0.85966 
1.28202 1.18438 1.11194 
1.08605 0.84108 0.92462 
0.20972 0.37362 0.38016 
0.50959 0.50877 0.45457 
0.21732 0.39199 0.27840 
0.20188 0.29055 0.48632 
0.52238 0.58315 0.43359 
0.46804 0.56518 0.32037 
0.47191 0.33011 0.45123 
0.37654 0.33772 0.23299 
0.97099 0.92312 1.00432 
0.75267 0.65996 0.85404 
0.55608 0.73844 0.47020 
0.50604 0.49718 0.26640 
0.55028 0.55173 0.34509 
0.43178 0.26932 0.27550 
0.39890 0.34879 0.24344 
0.91783 0.79814 0.84107 
1.10373 0.94082 1.01195 
0.69794 0.83962 0.88939 
0.85951 0.87152 1.02355 
1.04142 1.01286 0.86298 
0.81273 0.71432 0.82517 
0.50180 0.40743 0.41806 
1.02215 0.99908 0.96336 
0.19045 0.31384 0.27461 
0.67201 0.59628 0.76543 
0.51374 0.50255 0.60302 
0.41500 0.61730 0.35172 
0.85691 1.03743 0.81535 
0.81870 0.68349 0.83462 
0.49617 0.71590 0.45360 
0.77536 0.51089 0.56732 
0.89633 1.05889 0.94511 
0.32220 0.22408 0.28797 
0.81313 0.96968 0.94715 
0.78818 0.90365 0.75488 
0.84415 0.87942 0.89998 
0.64743 0.63729 0.84341 
1.10215 0.95638 1.24031 
0.36637 0.37514 0.48626 
0.97325 0.80944 0.86143 
0.83314 0.78633 0.62128 
1.04227 0.99692 1.02124 
0.79880 0.73892 0.92923 
0.83702 0.92101 1.05572 
0.47495 0.32842 0.25685 
1.02730 1.31362 1.00425 
0.76042 0.97837 1.08414 
0.51244 0.70125 0.69826 
0.80017 0.68609 0.59812 
0.34326 0.34952 0.31652 
0.22489 0.39297 0.16797 
1.04799 0.86002 1.01117 
1.06955 0.88345 1.05607 
0.63652 0.68861 0.81960 
0.87308 0.95857 0.83013 
0.89042 0.87355 0.82782 
0.65467 0.84302 0.69453 
0.30656 0.22296 0.44784 
0.54286 0.70719 0.66688 
0.75330 0.80814 0.58807 
0.91514 0.99954 0.82341 
0.25178 0.31333 0.23257 
0.57448 0.46298 0.56532 
0.88030 0.91845 0.79582 
0.68542 0.59131 0.44846 
0.22122 0.13808 0.30135 
1.02260 1.01520 0.95297 
0.84028 0.77763 0.72683 
0.63952 0.97577 0.87327 
0.25317 0.44848 0.37735 
0.49378 0.37527 0.39046 
1.07253 0.98848 1.03991 
0.95562 0.97164 1.00901 
0.95049 0.88323 0.98412 
0.96539 0.94607 1.00777 
1.04123 0.87920 0.87989 
0.42337 0.33087 0.42018 
0.66374 0.81251 0.97843 
0.46783 0.55864 0.51261 
0.59695 0.48249 0.41451 
0.23683 0.43946 0.31049 
0.49483 0.74202 0.58487 
0.33592 0.45143 0.42780 
1.05542 1.02141 0.96616 
0.45292 0.27022 0.21891 
0.87122 1.06749 1.08053 
1.07406 0.90357 0.90305 
0.51334 0.62043 0.66779 
0.36003 0.33006 0.38428 
0.80770 0.82803 0.69231 
0.85444 0.71459 0.73756 
0.59746 0.34740 0.60296 
0.74957 0.89379 0.85967 
0.37027 0.35817 0.37721 
0.61443 0.36074 0.64468 
0.39379 0.25246 0.35317 
0.16824 0.36306 0.34953 
0.26470 0.18768 0.31208 
0.33013 0.36717 0.44097 
0.82622 0.94654 0.81681 
0.64503 0.52951 0.57621 
0.54749 0.47604 0.49132 
0.88242 0.94518 0.83036 
1.03449 1.05997 0.97932 
0.55094 0.33588 0.27737 
0.97706 1.17722 0.98122 
0.60400 0.57302 0.73748 
0.86354 0.72295 0.88568 
0.43578 0.65853 0.55837 
0.10339 0.04596 0.31259 
0.67064 0.75143 0.43821 
0.59289 0.44251 0.47995 
0.40635 0.40940 0.31840 
0.76454 0.76913 0.72179 
0.91079 0.73640 0.96890 
0.55498 0.76584 0.82241 
0.79602 0.74699 0.65707 
0.37304 0.29768 0.24954 
0.32297 0.26606 0.11278 
0.52917 0.55599 0.75890 
0.46834 0.37453 0.45031 
0.78471 1.04794 1.02172 
0.96004 0.71298 0.89237 
0.85331 0.88421 0.80365 
1.06122 0.78902 0.85393 
0.68754 0.89855 0.78109 
0.80379 0.90542 1.09322 
0.52328 0.42272 0.49716 
0.27087 0.43835 0.37551 
0.42960 0.43710 0.54574 
0.24182 0.22951 0.19472 
0.63963 0.64845 0.66650 
0.50090 0.44113 0.36159 
0.53452 0.52851 0.52834 
0.69295 0.74794 0.68068 
0.63258 0.75211 0.75058 
0.32914 0.39726 0.21407 
0.75943 0.69554 0.94887 
0.47342 0.23181 0.36571 
0.79429 0.71980 0.84439 
0.78405 0.67923 0.68717 
0.73739 0.54583 0.78288 
0.51857 0.71398 0.59887 
1.16537 1.24502 1.13792 
0.73362 0.85005 0.78747 
0.69853 0.52453 0.64705 
0.89568 0.81387 0.98369 
0.84378 0.91951 1.02197 
0.66156 0.52423 0.44994 
0.80562 0.79673 0.87101 
0.38964 0.38275 0.25297 
1.02430 0.88487 0.82369 
0.23052 0.24158 0.49688 
0.93412 0.84320 0.88378 
0.41357 0.62727 0.59240 
0.40779 0.40049 0.37216 
0.06236 0.33873 0.06346 
1.11098 0.96769 0.94954 
0.64254 0.43349 0.33780 
0.29678 0.26823 0.42673 
0.77130 0.54127 0.76691 
0.34242 0.58839 0.38766 
0.38274 0.42058 0.50834 
0.87366 1.05134 1.02121 
0.24444 0.36899 0.24716 
0.37276 0.42797 0.20462 
0.80380 0.67588 0.69887 
0.51240 0.63652 0.49564 
0.93436 1.01627 1.17706 
0.33925 0.53659 0.46139 
0.16037 0.22818 0.31420 
1.09913 1.30018 1.30670 
